main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=1200, eps_start=1.0, frames=30000, games=500, gamma=0.99, log_interval=1, lr=0.05, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.998 | L -0.030 | R 1.000 | Avg L -0.030 | Avg R 1.000
U 14733 | F 14733 | G 4911 | D 17 | EPS 0.010 | L -579.843 | R 3374.000 | Avg L -0.027 | Avg R 0.700
U 14734 | F 14734 | G 4911 | D 17 | EPS 0.010 | L -579.843 | R 3374.000 | Avg L -0.027 | Avg R 0.700
U 14735 | F 14735 | G 4911 | D 17 | EPS 0.010 | L -579.843 | R 3374.000 | Avg L -0.027 | Avg R 0.700
U 14736 | F 14736 | G 4911 | D 17 | EPS 0.010 | L -579.843 | R 3374.000 | Avg L -0.027 | Avg R 0.700
U 14736 | F 14736 | G 4912 | D 17 | EPS 0.010 | L -579.601 | R 3375.000 | Avg L -0.028 | Avg R 0.700
U 14737 | F 14737 | G 4912 | D 17 | EPS 0.010 | L -579.601 | R 3375.000 | Avg L -0.028 | Avg R 0.700
U 14738 | F 14738 | G 4912 | D 17 | EPS 0.010 | L -579.601 | R 3375.000 | Avg L -0.028 | Avg R 0.700
U 14739 | F 14739 | G 4912 | D 17 | EPS 0.010 | L -579.601 | R 3375.000 | Avg L -0.028 | Avg R 0.700
U 14739 | F 14739 | G 4913 | D 17 | EPS 0.010 | L -579.362 | R 3376.000 | Avg L -0.028 | Avg R 0.700
U 14740 | F 14740 | G 4913 | D 17 | EPS 0.010 | L -579.362 | R 3376.000 | Avg L -0.028 | Avg R 0.700
U 14741 | F 14741 | G 4913 | D 17 | EPS 0.010 | L -579.362 | R 3376.000 | Avg L -0.028 | Avg R 0.700
U 14742 | F 14742 | G 4913 | D 17 | EPS 0.010 | L -579.362 | R 3376.000 | Avg L -0.028 | Avg R 0.700
U 14742 | F 14742 | G 4914 | D 17 | EPS 0.010 | L -579.124 | R 3377.000 | Avg L -0.029 | Avg R 0.700
U 14743 | F 14743 | G 4914 | D 17 | EPS 0.010 | L -579.124 | R 3377.000 | Avg L -0.029 | Avg R 0.700
U 14744 | F 14744 | G 4914 | D 17 | EPS 0.010 | L -579.124 | R 3377.000 | Avg L -0.029 | Avg R 0.700
U 14745 | F 14745 | G 4914 | D 17 | EPS 0.010 | L -579.124 | R 3377.000 | Avg L -0.029 | Avg R 0.700
U 14745 | F 14745 | G 4915 | D 17 | EPS 0.010 | L -578.887 | R 3378.000 | Avg L -0.029 | Avg R 0.700
U 14746 | F 14746 | G 4915 | D 17 | EPS 0.010 | L -578.887 | R 3378.000 | Avg L -0.029 | Avg R 0.700
U 14747 | F 14747 | G 4915 | D 17 | EPS 0.010 | L -578.887 | R 3378.000 | Avg L -0.029 | Avg R 0.700
U 14748 | F 14748 | G 4915 | D 17 | EPS 0.010 | L -578.887 | R 3378.000 | Avg L -0.029 | Avg R 0.700
U 14748 | F 14748 | G 4916 | D 17 | EPS 0.010 | L -579.647 | R 3378.000 | Avg L -0.039 | Avg R 0.690
U 14749 | F 14749 | G 4916 | D 17 | EPS 0.010 | L -579.647 | R 3378.000 | Avg L -0.039 | Avg R 0.690
U 14750 | F 14750 | G 4916 | D 17 | EPS 0.010 | L -579.647 | R 3378.000 | Avg L -0.039 | Avg R 0.690
U 14751 | F 14751 | G 4916 | D 17 | EPS 0.010 | L -579.647 | R 3378.000 | Avg L -0.039 | Avg R 0.690
U 14751 | F 14751 | G 4917 | D 17 | EPS 0.010 | L -579.416 | R 3379.000 | Avg L -0.040 | Avg R 0.690
U 14752 | F 14752 | G 4917 | D 17 | EPS 0.010 | L -579.416 | R 3379.000 | Avg L -0.040 | Avg R 0.690
U 14753 | F 14753 | G 4917 | D 17 | EPS 0.010 | L -579.416 | R 3379.000 | Avg L -0.040 | Avg R 0.690
U 14754 | F 14754 | G 4917 | D 17 | EPS 0.010 | L -579.416 | R 3379.000 | Avg L -0.040 | Avg R 0.690
U 14754 | F 14754 | G 4918 | D 17 | EPS 0.010 | L -579.189 | R 3380.000 | Avg L -0.040 | Avg R 0.690
U 14755 | F 14755 | G 4918 | D 17 | EPS 0.010 | L -579.189 | R 3380.000 | Avg L -0.040 | Avg R 0.690
U 14756 | F 14756 | G 4918 | D 17 | EPS 0.010 | L -579.189 | R 3380.000 | Avg L -0.040 | Avg R 0.690
U 14757 | F 14757 | G 4918 | D 17 | EPS 0.010 | L -579.189 | R 3380.000 | Avg L -0.040 | Avg R 0.690
U 14757 | F 14757 | G 4919 | D 17 | EPS 0.010 | L -579.698 | R 3380.000 | Avg L -0.048 | Avg R 0.680
U 14758 | F 14758 | G 4919 | D 17 | EPS 0.010 | L -579.698 | R 3380.000 | Avg L -0.048 | Avg R 0.680
U 14759 | F 14759 | G 4919 | D 17 | EPS 0.010 | L -579.698 | R 3380.000 | Avg L -0.048 | Avg R 0.680
U 14760 | F 14760 | G 4919 | D 17 | EPS 0.010 | L -579.698 | R 3380.000 | Avg L -0.048 | Avg R 0.680
U 14760 | F 14760 | G 4920 | D 17 | EPS 0.010 | L -580.460 | R 3380.000 | Avg L -0.058 | Avg R 0.670
U 14761 | F 14761 | G 4920 | D 17 | EPS 0.010 | L -580.460 | R 3380.000 | Avg L -0.058 | Avg R 0.670
U 14762 | F 14762 | G 4920 | D 17 | EPS 0.010 | L -580.460 | R 3380.000 | Avg L -0.058 | Avg R 0.670
U 14763 | F 14763 | G 4920 | D 17 | EPS 0.010 | L -580.460 | R 3380.000 | Avg L -0.058 | Avg R 0.670
U 14763 | F 14763 | G 4921 | D 17 | EPS 0.010 | L -580.235 | R 3381.000 | Avg L -0.059 | Avg R 0.670
U 14764 | F 14764 | G 4921 | D 17 | EPS 0.010 | L -580.235 | R 3381.000 | Avg L -0.059 | Avg R 0.670
U 14765 | F 14765 | G 4921 | D 17 | EPS 0.010 | L -580.235 | R 3381.000 | Avg L -0.059 | Avg R 0.670
U 14766 | F 14766 | G 4921 | D 17 | EPS 0.010 | L -580.235 | R 3381.000 | Avg L -0.059 | Avg R 0.670
U 14766 | F 14766 | G 4922 | D 17 | EPS 0.010 | L -580.014 | R 3382.000 | Avg L -0.050 | Avg R 0.680
U 14767 | F 14767 | G 4922 | D 17 | EPS 0.010 | L -580.014 | R 3382.000 | Avg L -0.050 | Avg R 0.680
U 14768 | F 14768 | G 4922 | D 17 | EPS 0.010 | L -580.014 | R 3382.000 | Avg L -0.050 | Avg R 0.680
U 14769 | F 14769 | G 4922 | D 17 | EPS 0.010 | L -580.014 | R 3382.000 | Avg L -0.050 | Avg R 0.680
U 14769 | F 14769 | G 4923 | D 17 | EPS 0.010 | L -579.795 | R 3383.000 | Avg L -0.040 | Avg R 0.690
U 14770 | F 14770 | G 4923 | D 17 | EPS 0.010 | L -579.795 | R 3383.000 | Avg L -0.040 | Avg R 0.690
U 14771 | F 14771 | G 4923 | D 17 | EPS 0.010 | L -579.795 | R 3383.000 | Avg L -0.040 | Avg R 0.690
U 14772 | F 14772 | G 4923 | D 17 | EPS 0.010 | L -579.795 | R 3383.000 | Avg L -0.040 | Avg R 0.690
U 14772 | F 14772 | G 4924 | D 17 | EPS 0.010 | L -579.582 | R 3384.000 | Avg L -0.041 | Avg R 0.690
U 14773 | F 14773 | G 4924 | D 17 | EPS 0.010 | L -579.582 | R 3384.000 | Avg L -0.041 | Avg R 0.690
U 14774 | F 14774 | G 4924 | D 17 | EPS 0.010 | L -579.582 | R 3384.000 | Avg L -0.041 | Avg R 0.690
U 14775 | F 14775 | G 4924 | D 17 | EPS 0.010 | L -579.582 | R 3384.000 | Avg L -0.041 | Avg R 0.690
U 14775 | F 14775 | G 4925 | D 17 | EPS 0.010 | L -579.364 | R 3385.000 | Avg L -0.041 | Avg R 0.690
U 14776 | F 14776 | G 4925 | D 17 | EPS 0.010 | L -579.364 | R 3385.000 | Avg L -0.041 | Avg R 0.690
U 14777 | F 14777 | G 4925 | D 17 | EPS 0.010 | L -579.364 | R 3385.000 | Avg L -0.041 | Avg R 0.690
U 14778 | F 14778 | G 4925 | D 17 | EPS 0.010 | L -579.364 | R 3385.000 | Avg L -0.041 | Avg R 0.690
U 14778 | F 14778 | G 4926 | D 17 | EPS 0.010 | L -579.150 | R 3386.000 | Avg L -0.042 | Avg R 0.690
U 14779 | F 14779 | G 4926 | D 17 | EPS 0.010 | L -579.150 | R 3386.000 | Avg L -0.042 | Avg R 0.690
U 14780 | F 14780 | G 4926 | D 17 | EPS 0.010 | L -579.150 | R 3386.000 | Avg L -0.042 | Avg R 0.690
U 14781 | F 14781 | G 4926 | D 17 | EPS 0.010 | L -579.150 | R 3386.000 | Avg L -0.042 | Avg R 0.690
U 14781 | F 14781 | G 4927 | D 17 | EPS 0.010 | L -578.937 | R 3387.000 | Avg L -0.042 | Avg R 0.690
U 14782 | F 14782 | G 4927 | D 17 | EPS 0.010 | L -578.937 | R 3387.000 | Avg L -0.042 | Avg R 0.690
U 14783 | F 14783 | G 4927 | D 17 | EPS 0.010 | L -578.937 | R 3387.000 | Avg L -0.042 | Avg R 0.690
U 14784 | F 14784 | G 4927 | D 17 | EPS 0.010 | L -578.937 | R 3387.000 | Avg L -0.042 | Avg R 0.690
U 14784 | F 14784 | G 4928 | D 17 | EPS 0.010 | L -578.718 | R 3388.000 | Avg L -0.043 | Avg R 0.690
U 14785 | F 14785 | G 4928 | D 17 | EPS 0.010 | L -578.718 | R 3388.000 | Avg L -0.043 | Avg R 0.690
U 14786 | F 14786 | G 4928 | D 17 | EPS 0.010 | L -578.718 | R 3388.000 | Avg L -0.043 | Avg R 0.690
U 14787 | F 14787 | G 4928 | D 18 | EPS 0.010 | L -578.718 | R 3388.000 | Avg L -0.043 | Avg R 0.690
U 14787 | F 14787 | G 4929 | D 18 | EPS 0.010 | L -578.506 | R 3389.000 | Avg L -0.043 | Avg R 0.690
U 14788 | F 14788 | G 4929 | D 18 | EPS 0.010 | L -578.506 | R 3389.000 | Avg L -0.043 | Avg R 0.690
U 14789 | F 14789 | G 4929 | D 18 | EPS 0.010 | L -578.506 | R 3389.000 | Avg L -0.043 | Avg R 0.690
U 14790 | F 14790 | G 4929 | D 18 | EPS 0.010 | L -578.506 | R 3389.000 | Avg L -0.043 | Avg R 0.690
U 14790 | F 14790 | G 4930 | D 18 | EPS 0.010 | L -578.294 | R 3390.000 | Avg L -0.034 | Avg R 0.700
U 14791 | F 14791 | G 4930 | D 18 | EPS 0.010 | L -578.294 | R 3390.000 | Avg L -0.034 | Avg R 0.700
U 14792 | F 14792 | G 4930 | D 18 | EPS 0.010 | L -578.294 | R 3390.000 | Avg L -0.034 | Avg R 0.700
U 14793 | F 14793 | G 4930 | D 18 | EPS 0.010 | L -578.294 | R 3390.000 | Avg L -0.034 | Avg R 0.700
U 14793 | F 14793 | G 4931 | D 18 | EPS 0.010 | L -578.082 | R 3391.000 | Avg L -0.034 | Avg R 0.700
U 14794 | F 14794 | G 4931 | D 18 | EPS 0.010 | L -578.082 | R 3391.000 | Avg L -0.034 | Avg R 0.700
U 14795 | F 14795 | G 4931 | D 18 | EPS 0.010 | L -578.082 | R 3391.000 | Avg L -0.034 | Avg R 0.700
U 14796 | F 14796 | G 4931 | D 18 | EPS 0.010 | L -578.082 | R 3391.000 | Avg L -0.034 | Avg R 0.700
U 14796 | F 14796 | G 4932 | D 18 | EPS 0.010 | L -577.871 | R 3392.000 | Avg L -0.025 | Avg R 0.710
U 14797 | F 14797 | G 4932 | D 18 | EPS 0.010 | L -577.871 | R 3392.000 | Avg L -0.025 | Avg R 0.710
U 14798 | F 14798 | G 4932 | D 18 | EPS 0.010 | L -577.871 | R 3392.000 | Avg L -0.025 | Avg R 0.710
U 14799 | F 14799 | G 4932 | D 18 | EPS 0.010 | L -577.871 | R 3392.000 | Avg L -0.025 | Avg R 0.710
U 14799 | F 14799 | G 4933 | D 18 | EPS 0.010 | L -578.453 | R 3392.000 | Avg L -0.024 | Avg R 0.710
U 14800 | F 14800 | G 4933 | D 18 | EPS 0.010 | L -578.453 | R 3392.000 | Avg L -0.024 | Avg R 0.710
U 14801 | F 14801 | G 4933 | D 18 | EPS 0.010 | L -578.453 | R 3392.000 | Avg L -0.024 | Avg R 0.710
U 14802 | F 14802 | G 4933 | D 18 | EPS 0.010 | L -578.453 | R 3392.000 | Avg L -0.024 | Avg R 0.710
U 14802 | F 14802 | G 4934 | D 18 | EPS 0.010 | L -578.244 | R 3393.000 | Avg L -0.014 | Avg R 0.720
U 14803 | F 14803 | G 4934 | D 18 | EPS 0.010 | L -578.244 | R 3393.000 | Avg L -0.014 | Avg R 0.720
U 14804 | F 14804 | G 4934 | D 18 | EPS 0.010 | L -578.244 | R 3393.000 | Avg L -0.014 | Avg R 0.720
U 14805 | F 14805 | G 4934 | D 18 | EPS 0.010 | L -578.244 | R 3393.000 | Avg L -0.014 | Avg R 0.720
U 14805 | F 14805 | G 4935 | D 18 | EPS 0.010 | L -578.035 | R 3394.000 | Avg L -0.005 | Avg R 0.730
U 14806 | F 14806 | G 4935 | D 18 | EPS 0.010 | L -578.035 | R 3394.000 | Avg L -0.005 | Avg R 0.730
U 14807 | F 14807 | G 4935 | D 18 | EPS 0.010 | L -578.035 | R 3394.000 | Avg L -0.005 | Avg R 0.730
U 14808 | F 14808 | G 4935 | D 18 | EPS 0.010 | L -578.035 | R 3394.000 | Avg L -0.005 | Avg R 0.730
U 14808 | F 14808 | G 4936 | D 18 | EPS 0.010 | L -577.823 | R 3395.000 | Avg L -0.005 | Avg R 0.730
U 14809 | F 14809 | G 4936 | D 18 | EPS 0.010 | L -577.823 | R 3395.000 | Avg L -0.005 | Avg R 0.730
U 14810 | F 14810 | G 4936 | D 18 | EPS 0.010 | L -577.823 | R 3395.000 | Avg L -0.005 | Avg R 0.730
U 14811 | F 14811 | G 4936 | D 18 | EPS 0.010 | L -577.823 | R 3395.000 | Avg L -0.005 | Avg R 0.730
U 14811 | F 14811 | G 4937 | D 18 | EPS 0.010 | L -577.612 | R 3396.000 | Avg L -0.006 | Avg R 0.730
U 14812 | F 14812 | G 4937 | D 18 | EPS 0.010 | L -577.612 | R 3396.000 | Avg L -0.006 | Avg R 0.730
U 14813 | F 14813 | G 4937 | D 18 | EPS 0.010 | L -577.612 | R 3396.000 | Avg L -0.006 | Avg R 0.730
U 14814 | F 14814 | G 4937 | D 18 | EPS 0.010 | L -577.612 | R 3396.000 | Avg L -0.006 | Avg R 0.730
U 14814 | F 14814 | G 4938 | D 18 | EPS 0.010 | L -577.407 | R 3397.000 | Avg L 0.003 | Avg R 0.740
U 14815 | F 14815 | G 4938 | D 18 | EPS 0.010 | L -577.407 | R 3397.000 | Avg L 0.003 | Avg R 0.740
U 14816 | F 14816 | G 4938 | D 18 | EPS 0.010 | L -577.407 | R 3397.000 | Avg L 0.003 | Avg R 0.740
U 14817 | F 14817 | G 4938 | D 18 | EPS 0.010 | L -577.407 | R 3397.000 | Avg L 0.003 | Avg R 0.740
U 14817 | F 14817 | G 4939 | D 18 | EPS 0.010 | L -577.198 | R 3398.000 | Avg L 0.003 | Avg R 0.740
U 14818 | F 14818 | G 4939 | D 18 | EPS 0.010 | L -577.198 | R 3398.000 | Avg L 0.003 | Avg R 0.740
U 14819 | F 14819 | G 4939 | D 18 | EPS 0.010 | L -577.198 | R 3398.000 | Avg L 0.003 | Avg R 0.740
U 14820 | F 14820 | G 4939 | D 18 | EPS 0.010 | L -577.198 | R 3398.000 | Avg L 0.003 | Avg R 0.740
U 14820 | F 14820 | G 4940 | D 18 | EPS 0.010 | L -577.988 | R 3398.000 | Avg L -0.008 | Avg R 0.730
U 14821 | F 14821 | G 4940 | D 18 | EPS 0.010 | L -577.988 | R 3398.000 | Avg L -0.008 | Avg R 0.730
U 14822 | F 14822 | G 4940 | D 18 | EPS 0.010 | L -577.988 | R 3398.000 | Avg L -0.008 | Avg R 0.730
U 14823 | F 14823 | G 4940 | D 18 | EPS 0.010 | L -577.988 | R 3398.000 | Avg L -0.008 | Avg R 0.730
U 14823 | F 14823 | G 4941 | D 18 | EPS 0.010 | L -577.781 | R 3399.000 | Avg L -0.009 | Avg R 0.730
U 14824 | F 14824 | G 4941 | D 18 | EPS 0.010 | L -577.781 | R 3399.000 | Avg L -0.009 | Avg R 0.730
U 14825 | F 14825 | G 4941 | D 18 | EPS 0.010 | L -577.781 | R 3399.000 | Avg L -0.009 | Avg R 0.730
U 14826 | F 14826 | G 4941 | D 18 | EPS 0.010 | L -577.781 | R 3399.000 | Avg L -0.009 | Avg R 0.730
U 14826 | F 14826 | G 4942 | D 18 | EPS 0.010 | L -577.572 | R 3400.000 | Avg L -0.009 | Avg R 0.730
U 14827 | F 14827 | G 4942 | D 18 | EPS 0.010 | L -577.572 | R 3400.000 | Avg L -0.009 | Avg R 0.730
U 14828 | F 14828 | G 4942 | D 18 | EPS 0.010 | L -577.572 | R 3400.000 | Avg L -0.009 | Avg R 0.730
U 14829 | F 14829 | G 4942 | D 18 | EPS 0.010 | L -577.572 | R 3400.000 | Avg L -0.009 | Avg R 0.730
U 14829 | F 14829 | G 4943 | D 18 | EPS 0.010 | L -577.364 | R 3401.000 | Avg L 0.000 | Avg R 0.740
U 14830 | F 14830 | G 4943 | D 18 | EPS 0.010 | L -577.364 | R 3401.000 | Avg L 0.000 | Avg R 0.740
U 14831 | F 14831 | G 4943 | D 18 | EPS 0.010 | L -577.364 | R 3401.000 | Avg L 0.000 | Avg R 0.740
U 14832 | F 14832 | G 4943 | D 18 | EPS 0.010 | L -577.364 | R 3401.000 | Avg L 0.000 | Avg R 0.740
U 14832 | F 14832 | G 4944 | D 18 | EPS 0.010 | L -577.150 | R 3402.000 | Avg L 0.009 | Avg R 0.750
U 14833 | F 14833 | G 4944 | D 18 | EPS 0.010 | L -577.150 | R 3402.000 | Avg L 0.009 | Avg R 0.750
U 14834 | F 14834 | G 4944 | D 18 | EPS 0.010 | L -577.150 | R 3402.000 | Avg L 0.009 | Avg R 0.750
U 14835 | F 14835 | G 4944 | D 18 | EPS 0.010 | L -577.150 | R 3402.000 | Avg L 0.009 | Avg R 0.750
U 14835 | F 14835 | G 4945 | D 18 | EPS 0.010 | L -576.938 | R 3403.000 | Avg L 0.009 | Avg R 0.750
U 14836 | F 14836 | G 4945 | D 18 | EPS 0.010 | L -576.938 | R 3403.000 | Avg L 0.009 | Avg R 0.750
U 14837 | F 14837 | G 4945 | D 18 | EPS 0.010 | L -576.938 | R 3403.000 | Avg L 0.009 | Avg R 0.750
U 14838 | F 14838 | G 4945 | D 18 | EPS 0.010 | L -576.938 | R 3403.000 | Avg L 0.009 | Avg R 0.750
U 14838 | F 14838 | G 4946 | D 18 | EPS 0.010 | L -576.731 | R 3404.000 | Avg L 0.008 | Avg R 0.750
U 14839 | F 14839 | G 4946 | D 18 | EPS 0.010 | L -576.731 | R 3404.000 | Avg L 0.008 | Avg R 0.750
U 14840 | F 14840 | G 4946 | D 18 | EPS 0.010 | L -576.731 | R 3404.000 | Avg L 0.008 | Avg R 0.750
U 14841 | F 14841 | G 4946 | D 18 | EPS 0.010 | L -576.731 | R 3404.000 | Avg L 0.008 | Avg R 0.750
U 14841 | F 14841 | G 4947 | D 18 | EPS 0.010 | L -576.520 | R 3405.000 | Avg L 0.008 | Avg R 0.750
U 14842 | F 14842 | G 4947 | D 18 | EPS 0.010 | L -576.520 | R 3405.000 | Avg L 0.008 | Avg R 0.750
U 14843 | F 14843 | G 4947 | D 18 | EPS 0.010 | L -576.520 | R 3405.000 | Avg L 0.008 | Avg R 0.750
U 14844 | F 14844 | G 4947 | D 18 | EPS 0.010 | L -576.520 | R 3405.000 | Avg L 0.008 | Avg R 0.750
U 14844 | F 14844 | G 4948 | D 18 | EPS 0.010 | L -577.300 | R 3405.000 | Avg L -0.003 | Avg R 0.740
U 14845 | F 14845 | G 4948 | D 18 | EPS 0.010 | L -577.300 | R 3405.000 | Avg L -0.003 | Avg R 0.740
U 14846 | F 14846 | G 4948 | D 18 | EPS 0.010 | L -577.300 | R 3405.000 | Avg L -0.003 | Avg R 0.740
U 14847 | F 14847 | G 4948 | D 18 | EPS 0.010 | L -577.300 | R 3405.000 | Avg L -0.003 | Avg R 0.740
U 14847 | F 14847 | G 4949 | D 18 | EPS 0.010 | L -578.089 | R 3405.000 | Avg L -0.004 | Avg R 0.740
U 14848 | F 14848 | G 4949 | D 18 | EPS 0.010 | L -578.089 | R 3405.000 | Avg L -0.004 | Avg R 0.740
U 14849 | F 14849 | G 4949 | D 18 | EPS 0.010 | L -578.089 | R 3405.000 | Avg L -0.004 | Avg R 0.740
U 14850 | F 14850 | G 4949 | D 18 | EPS 0.010 | L -578.089 | R 3405.000 | Avg L -0.004 | Avg R 0.740
U 14850 | F 14850 | G 4950 | D 18 | EPS 0.010 | L -577.881 | R 3406.000 | Avg L -0.004 | Avg R 0.740
U 14851 | F 14851 | G 4950 | D 18 | EPS 0.010 | L -577.881 | R 3406.000 | Avg L -0.004 | Avg R 0.740
U 14852 | F 14852 | G 4950 | D 18 | EPS 0.010 | L -577.881 | R 3406.000 | Avg L -0.004 | Avg R 0.740
U 14853 | F 14853 | G 4950 | D 18 | EPS 0.010 | L -577.881 | R 3406.000 | Avg L -0.004 | Avg R 0.740
U 14853 | F 14853 | G 4951 | D 18 | EPS 0.010 | L -578.656 | R 3406.000 | Avg L -0.005 | Avg R 0.740
U 14854 | F 14854 | G 4951 | D 18 | EPS 0.010 | L -578.656 | R 3406.000 | Avg L -0.005 | Avg R 0.740
U 14855 | F 14855 | G 4951 | D 18 | EPS 0.010 | L -578.656 | R 3406.000 | Avg L -0.005 | Avg R 0.740
U 14856 | F 14856 | G 4951 | D 18 | EPS 0.010 | L -578.656 | R 3406.000 | Avg L -0.005 | Avg R 0.740
U 14856 | F 14856 | G 4952 | D 18 | EPS 0.010 | L -578.445 | R 3407.000 | Avg L -0.006 | Avg R 0.740
U 14857 | F 14857 | G 4952 | D 18 | EPS 0.010 | L -578.445 | R 3407.000 | Avg L -0.006 | Avg R 0.740
U 14858 | F 14858 | G 4952 | D 18 | EPS 0.010 | L -578.445 | R 3407.000 | Avg L -0.006 | Avg R 0.740
U 14859 | F 14859 | G 4952 | D 18 | EPS 0.010 | L -578.445 | R 3407.000 | Avg L -0.006 | Avg R 0.740
U 14859 | F 14859 | G 4953 | D 18 | EPS 0.010 | L -579.227 | R 3407.000 | Avg L -0.016 | Avg R 0.730
U 14860 | F 14860 | G 4953 | D 18 | EPS 0.010 | L -579.227 | R 3407.000 | Avg L -0.016 | Avg R 0.730
U 14861 | F 14861 | G 4953 | D 18 | EPS 0.010 | L -579.227 | R 3407.000 | Avg L -0.016 | Avg R 0.730
U 14862 | F 14862 | G 4953 | D 18 | EPS 0.010 | L -579.227 | R 3407.000 | Avg L -0.016 | Avg R 0.730
U 14862 | F 14862 | G 4954 | D 18 | EPS 0.010 | L -579.997 | R 3407.000 | Avg L -0.027 | Avg R 0.720
U 14863 | F 14863 | G 4954 | D 18 | EPS 0.010 | L -579.997 | R 3407.000 | Avg L -0.027 | Avg R 0.720
U 14864 | F 14864 | G 4954 | D 18 | EPS 0.010 | L -579.997 | R 3407.000 | Avg L -0.027 | Avg R 0.720
U 14865 | F 14865 | G 4954 | D 18 | EPS 0.010 | L -579.997 | R 3407.000 | Avg L -0.027 | Avg R 0.720
U 14865 | F 14865 | G 4955 | D 18 | EPS 0.010 | L -579.782 | R 3408.000 | Avg L -0.018 | Avg R 0.730
U 14866 | F 14866 | G 4955 | D 18 | EPS 0.010 | L -579.782 | R 3408.000 | Avg L -0.018 | Avg R 0.730
U 14867 | F 14867 | G 4955 | D 18 | EPS 0.010 | L -579.782 | R 3408.000 | Avg L -0.018 | Avg R 0.730
U 14868 | F 14868 | G 4955 | D 18 | EPS 0.010 | L -579.782 | R 3408.000 | Avg L -0.018 | Avg R 0.730
U 14868 | F 14868 | G 4956 | D 18 | EPS 0.010 | L -579.564 | R 3409.000 | Avg L -0.018 | Avg R 0.730
U 14869 | F 14869 | G 4956 | D 18 | EPS 0.010 | L -579.564 | R 3409.000 | Avg L -0.018 | Avg R 0.730
U 14870 | F 14870 | G 4956 | D 18 | EPS 0.010 | L -579.564 | R 3409.000 | Avg L -0.018 | Avg R 0.730
U 14871 | F 14871 | G 4956 | D 18 | EPS 0.010 | L -579.564 | R 3409.000 | Avg L -0.018 | Avg R 0.730
U 14871 | F 14871 | G 4957 | D 18 | EPS 0.010 | L -579.343 | R 3410.000 | Avg L -0.019 | Avg R 0.730
U 14872 | F 14872 | G 4957 | D 18 | EPS 0.010 | L -579.343 | R 3410.000 | Avg L -0.019 | Avg R 0.730
U 14873 | F 14873 | G 4957 | D 18 | EPS 0.010 | L -579.343 | R 3410.000 | Avg L -0.019 | Avg R 0.730
U 14874 | F 14874 | G 4957 | D 18 | EPS 0.010 | L -579.343 | R 3410.000 | Avg L -0.019 | Avg R 0.730
U 14874 | F 14874 | G 4958 | D 18 | EPS 0.010 | L -579.123 | R 3411.000 | Avg L -0.019 | Avg R 0.730
U 14875 | F 14875 | G 4958 | D 18 | EPS 0.010 | L -579.123 | R 3411.000 | Avg L -0.019 | Avg R 0.730
U 14876 | F 14876 | G 4958 | D 18 | EPS 0.010 | L -579.123 | R 3411.000 | Avg L -0.019 | Avg R 0.730
U 14877 | F 14877 | G 4958 | D 18 | EPS 0.010 | L -579.123 | R 3411.000 | Avg L -0.019 | Avg R 0.730
U 14877 | F 14877 | G 4959 | D 18 | EPS 0.010 | L -578.901 | R 3412.000 | Avg L -0.020 | Avg R 0.730
U 14878 | F 14878 | G 4959 | D 18 | EPS 0.010 | L -578.901 | R 3412.000 | Avg L -0.020 | Avg R 0.730
U 14879 | F 14879 | G 4959 | D 18 | EPS 0.010 | L -578.901 | R 3412.000 | Avg L -0.020 | Avg R 0.730
U 14880 | F 14880 | G 4959 | D 18 | EPS 0.010 | L -578.901 | R 3412.000 | Avg L -0.020 | Avg R 0.730
U 14880 | F 14880 | G 4960 | D 18 | EPS 0.010 | L -578.681 | R 3413.000 | Avg L -0.010 | Avg R 0.740
U 14881 | F 14881 | G 4960 | D 18 | EPS 0.010 | L -578.681 | R 3413.000 | Avg L -0.010 | Avg R 0.740
U 14882 | F 14882 | G 4960 | D 18 | EPS 0.010 | L -578.681 | R 3413.000 | Avg L -0.010 | Avg R 0.740
U 14883 | F 14883 | G 4960 | D 18 | EPS 0.010 | L -578.681 | R 3413.000 | Avg L -0.010 | Avg R 0.740
U 14883 | F 14883 | G 4961 | D 18 | EPS 0.010 | L -579.447 | R 3413.000 | Avg L -0.021 | Avg R 0.730
U 14884 | F 14884 | G 4961 | D 18 | EPS 0.010 | L -579.447 | R 3413.000 | Avg L -0.021 | Avg R 0.730
U 14885 | F 14885 | G 4961 | D 18 | EPS 0.010 | L -579.447 | R 3413.000 | Avg L -0.021 | Avg R 0.730
U 14886 | F 14886 | G 4961 | D 18 | EPS 0.010 | L -579.447 | R 3413.000 | Avg L -0.021 | Avg R 0.730
U 14886 | F 14886 | G 4962 | D 18 | EPS 0.010 | L -579.230 | R 3414.000 | Avg L -0.011 | Avg R 0.740
U 14887 | F 14887 | G 4962 | D 18 | EPS 0.010 | L -579.230 | R 3414.000 | Avg L -0.011 | Avg R 0.740
U 14888 | F 14888 | G 4962 | D 18 | EPS 0.010 | L -579.230 | R 3414.000 | Avg L -0.011 | Avg R 0.740
U 14889 | F 14889 | G 4962 | D 18 | EPS 0.010 | L -579.230 | R 3414.000 | Avg L -0.011 | Avg R 0.740
U 14889 | F 14889 | G 4963 | D 18 | EPS 0.010 | L -579.009 | R 3415.000 | Avg L -0.012 | Avg R 0.740
